0,1,2,3,4,5,6
118.1,109.9,109.9,111.0,117.0,119.2,118.1
118.1,109.9,109.9,111.0,117.0,119.2,118.1
118.1,109.9,109.9,111.0,117.0,119.2,118.1
118.1,119.2,117.0,111.0,109.9,109.9,118.1
118.1,109.9,111.0,111.0,117.0,115.9,118.1
118.1,109.9,109.9,111.0,117.0,119.2,118.1
118.1,115.9,109.9,111.0,111.0,119.2,118.1
118.1,115.9,109.9,111.0,111.0,119.2,118.1
118.1,115.9,117.0,111.0,111.0,109.9,118.1
118.1,109.9,111.0,111.0,117.0,115.9,118.1
118.1,115.9,109.9,111.0,111.0,119.2,118.1
118.1,115.9,109.9,111.0,111.0,119.2,118.1
118.1,109.9,109.9,111.0,117.0,119.2,118.1
118.1,119.2,117.0,111.0,109.9,109.9,118.1
118.1,115.9,117.0,111.0,111.0,109.9,118.1
118.1,119.2,111.0,111.0,109.9,115.9,118.1
118.1,119.2,117.0,111.0,109.9,109.9,118.1
118.1,115.9,109.9,111.0,111.0,119.2,118.1
118.1,109.9,109.9,111.0,117.0,119.2,118.1
118.1,109.9,109.9,111.0,117.0,119.2,118.1
118.1,119.2,117.0,111.0,109.9,109.9,118.1
118.1,115.9,117.0,111.0,111.0,109.9,118.1
118.1,115.9,109.9,111.0,111.0,119.2,118.1
118.1,115.9,117.0,111.0,111.0,109.9,118.1
118.1,119.2,111.0,111.0,109.9,115.9,118.1
118.1,115.9,117.0,111.0,111.0,109.9,118.1
118.1,109.9,109.9,111.0,117.0,119.2,118.1
118.1,115.9,117.0,111.0,111.0,109.9,118.1
118.1,119.2,117.0,111.0,109.9,109.9,118.1
118.1,119.2,117.0,111.0,109.9,109.9,118.1
118.1,119.2,117.0,111.0,109.9,109.9,118.1
118.1,115.9,109.9,111.0,111.0,119.2,118.1
118.1,115.9,117.0,111.0,111.0,109.9,118.1
118.1,109.9,111.0,111.0,117.0,115.9,118.1
118.1,119.2,117.0,111.0,109.9,109.9,118.1
118.1,109.9,111.0,111.0,117.0,115.9,118.1
118.1,115.9,109.9,111.0,111.0,119.2,118.1
118.1,119.2,111.0,111.0,109.9,115.9,118.1
118.1,115.9,109.9,111.0,111.0,119.2,118.1
118.1,115.9,117.0,111.0,111.0,109.9,118.1
118.1,109.9,111.0,111.0,117.0,115.9,118.1
118.1,115.9,109.9,111.0,111.0,119.2,118.1
118.1,115.9,117.0,111.0,111.0,109.9,118.1
118.1,115.9,117.0,111.0,111.0,109.9,118.1
118.1,109.9,111.0,111.0,117.0,115.9,118.1
118.1,109.9,111.0,111.0,117.0,115.9,118.1
118.1,109.9,109.9,111.0,117.0,119.2,118.1
118.1,109.9,111.0,111.0,117.0,115.9,118.1
118.1,119.2,111.0,111.0,109.9,115.9,118.1
118.1,115.9,109.9,111.0,111.0,119.2,118.1
118.1,115.9,117.0,111.0,111.0,109.9,118.1
118.1,109.9,109.9,111.0,117.0,119.2,118.1
118.1,115.9,109.9,111.0,111.0,119.2,118.1
118.1,109.9,109.9,111.0,117.0,119.2,118.1
118.1,109.9,111.0,111.0,117.0,115.9,118.1
118.1,115.9,109.9,111.0,111.0,119.2,118.1
118.1,119.2,111.0,111.0,109.9,115.9,118.1
118.1,109.9,109.9,111.0,117.0,119.2,118.1
118.1,115.9,109.9,111.0,111.0,119.2,118.1
118.1,115.9,109.9,111.0,111.0,119.2,118.1
118.1,119.2,111.0,111.0,109.9,115.9,118.1
118.1,115.9,109.9,111.0,111.0,119.2,118.1
118.1,115.9,117.0,111.0,111.0,109.9,118.1
118.1,119.2,117.0,111.0,109.9,109.9,118.1
118.1,109.9,111.0,111.0,117.0,115.9,118.1
118.1,115.9,109.9,111.0,111.0,119.2,118.1
118.1,115.9,109.9,111.0,111.0,119.2,118.1
118.1,119.2,117.0,111.0,109.9,109.9,118.1
118.1,115.9,117.0,111.0,111.0,109.9,118.1
118.1,119.2,117.0,111.0,109.9,109.9,118.1
118.1,109.9,111.0,111.0,117.0,115.9,118.1
