0,1,2,3,4,5,6
2147483647,1,2,0,1,2,0
2147483647,1,2,0,1,2,0
2147483647,1,2,0,1,2,0
2147483647,0,2,1,0,2,1
2147483647,1,0,2,1,0,2
2147483647,1,2,0,1,2,0
2147483647,2,1,0,2,1,0
2147483647,2,1,0,2,1,0
2147483647,2,0,1,2,0,1
2147483647,1,0,2,1,0,2
2147483647,2,1,0,2,1,0
2147483647,2,1,0,2,1,0
2147483647,1,2,0,1,2,0
2147483647,0,2,1,0,2,1
2147483647,2,0,1,2,0,1
2147483647,0,1,2,0,1,2
2147483647,0,2,1,0,2,1
2147483647,2,1,0,2,1,0
2147483647,1,2,0,1,2,0
2147483647,1,2,0,1,2,0
2147483647,0,2,1,0,2,1
2147483647,2,0,1,2,0,1
2147483647,2,1,0,2,1,0
2147483647,2,0,1,2,0,1
2147483647,0,1,2,0,1,2
2147483647,2,0,1,2,0,1
2147483647,1,2,0,1,2,0
2147483647,2,0,1,2,0,1
2147483647,0,2,1,0,2,1
2147483647,0,2,1,0,2,1
2147483647,0,2,1,0,2,1
2147483647,2,1,0,2,1,0
2147483647,2,0,1,2,0,1
2147483647,1,0,2,1,0,2
2147483647,0,2,1,0,2,1
2147483647,1,0,2,1,0,2
2147483647,2,1,0,2,1,0
2147483647,0,1,2,0,1,2
2147483647,2,1,0,2,1,0
2147483647,2,0,1,2,0,1
2147483647,1,0,2,1,0,2
2147483647,2,1,0,2,1,0
2147483647,2,0,1,2,0,1
2147483647,2,0,1,2,0,1
2147483647,1,0,2,1,0,2
2147483647,1,0,2,1,0,2
2147483647,1,2,0,1,2,0
2147483647,1,0,2,1,0,2
2147483647,0,1,2,0,1,2
2147483647,2,1,0,2,1,0
2147483647,2,0,1,2,0,1
2147483647,1,2,0,1,2,0
2147483647,2,1,0,2,1,0
2147483647,1,2,0,1,2,0
2147483647,1,0,2,1,0,2
2147483647,2,1,0,2,1,0
2147483647,0,1,2,0,1,2
2147483647,1,2,0,1,2,0
2147483647,2,1,0,2,1,0
2147483647,2,1,0,2,1,0
2147483647,0,1,2,0,1,2
2147483647,2,1,0,2,1,0
2147483647,2,0,1,2,0,1
2147483647,0,2,1,0,2,1
2147483647,1,0,2,1,0,2
2147483647,2,1,0,2,1,0
2147483647,2,1,0,2,1,0
2147483647,0,2,1,0,2,1
2147483647,2,0,1,2,0,1
2147483647,0,2,1,0,2,1
2147483647,1,0,2,1,0,2
